date,index,location,location2,Grid,Plot,Way Point,GPS used,Tag #,Species,Ht (cm),Diameter stem 1,Diameter stem 2,Diameter stem 3,Diameter stem 4,Diameter stem 5,Diameter stem 6,Diameter stem 7,Diameter stem 8,# of stems,%,Age,Respr,% circum,Add circum,< 3m %,Age,% Regrow,Borers %,Fire (y/n),Toppled (y/n),Respr,Elephant (y/n),Alive (y/n),notes,Data entered by
28-May-16,99,Kruger National Park,Lower sabie,3,28,39,NI,,Acacia nigrescens,520,55.3,0,0,0,0,0,0,0,1,45,O,N,17,50,35,O,60,40,N,N,N,Y,Y,,Tsego
23-May-16,100,Kruger National Park,Lower Sabie,4,29,"A,NIG1",orange,,Acacia nigrescens,500,29.5,0,0,0,0,0,0,0,1,7,O,N,3,4,1,O,2,4,N,N,N,N,Y,,Kele
23-May-16,101,Kruger National Park,Lower Sabie,4,29,"A,NIG2",orange,,Acacia nigrescens,550,32.3,0,0,0,0,0,0,0,1,55,N,N,15,49,20,O,26,6,N,N,N,Y,Y,,Kele
23-May-16,102,Kruger National Park,Lower Sabie,4,30,"A,NIG18",orange,,Acacia nigrescens,580,28.4,0,0,0,0,0,0,0,1,16,O,N,30,34,34,O,4,5,Y,N,N,Y,Y,,Kele
23-May-16,103,Kruger National Park,Lower Sabie,4,31,"A,NIG16",orange,,Acacia nigrescens,580,13,14.1,0,0,0,0,0,0,2,15,O,N,10,13,11,O,2,2,Y,N,N,Y,Y,,Kele
23-May-16,104,Kruger National Park,Lower Sabie,4,31,"A,NIG17",orange,,Acacia nigrescens,650,31.5,0,0,0,0,0,0,0,1,18,O,N,45,23,18,O,3,3,Y,N,N,Y,Y,,Kele
23-May-16,105,Kruger National Park,Lower Sabie,4,33,"A,NIG11",orange,,Acacia nigrescens,520,25.2,0,0,0,0,0,0,0,1,100,O,Y,60,63,35,O,0,6,N,N,N,Y,Y,,Kele
23-May-16,106,Kruger National Park,Lower Sabie,4,33,"A,NIG12",orange,,Acacia nigrescens,520,14.5,0,0,0,0,0,0,0,1,20,O,Y,0,0,0,N/A,N/A,N/A,N,N,N,N,Y,,Kele
23-May-16,107,Kruger National Park,Lower Sabie,4,33,"A,NIG13",orange,,Acacia nigrescens,520,37.5,0,0,0,0,0,0,0,1,45,O,N,0,0,0,N/A,N/A,N/A,N,N,N,Y,Y,,Kele
23-May-16,108,Kruger National Park,Lower Sabie,4,33,"A,NIG14",orange,,Acacia nigrescens,600,25.2,0,0,0,0,0,0,0,1,100,O,N,50,60,40,O,0,20,Y,Y,N,Y,N,,Kele
23-May-16,109,Kruger National Park,Lower Sabie,4,33,"A,NIG15",orange,,Acacia nigrescens,520,41.5,0,0,0,0,0,0,0,1,20,O,N,10,12,10,O,0,10,Y,N,N,Y,Y,,Kele
23-May-16,110,Kruger National Park,Lower Sabie,4,34,"A,NIG3",orange,,Acacia nigrescens,510,23,0,0,0,0,0,0,0,1,6,O,N,50,59,50,O,23,10,N,N,N,Y,Y,,Kele
23-May-16,111,Kruger National Park,Lower Sabie,4,34,"A,NIG4",orange,,Acacia nigrescens,500,27,0,0,0,0,0,0,0,1,80,O,N,15,19,15,O,2,16,N,N,N,Y,Y,,Kele
23-May-16,112,Kruger National Park,Lower Sabie,4,34,"A,NIG5",orange,,Acacia nigrescens,530,17.9,12.8,0,0,0,0,0,0,2,2,N,N,15,30,12,O,0,1,N,N,N,Y,Y,,Kele
23-May-16,113,Kruger National Park,Lower Sabie,4,34,"A,NIG6",orange,,Acacia nigrescens,530,29,0,0,0,0,0,0,0,1,6,O,N,1,0,0.5,O,2,0,N,N,N,Y,Y,,Kele
